timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,latency_sec,match,raw_packet
2026-05-05 20:16:18,COMMAND_SENT,1,MTI,Enabled,,,,,,,"T=CMD,CID=1,TS=1778037378.2142491,MODE=MTI,TX=EN"
2026-05-05 20:16:18,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,0.36,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-05 20:16:23,COMMAND_SENT,2,MTI,Enabled,,,,,,,"T=CMD,CID=2,TS=1778037383.4587147,MODE=MTI,TX=EN"
2026-05-05 20:16:23,STATUS_RECEIVED,2,MTI,Enabled,MTI,Enabled,OK,0,0.28,YES,"T=STAT,CID=2,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-05 20:16:27,COMMAND_SENT,3,MTI,Disabled,,,,,,,"T=CMD,CID=3,TS=1778037387.1955783,MODE=MTI,TX=DIS"
2026-05-05 20:16:27,STATUS_RECEIVED,3,MTI,Disabled,MTI,Disabled,OK,0,0.32,YES,"T=STAT,CID=3,MODE=MTI,TX=DIS,H=OK,A=0"
2026-05-05 20:16:36,COMMAND_SENT,4,SARVideo,Disabled,,,,,,,"T=CMD,CID=4,TS=1778037396.4035275,MODE=SARV,TX=DIS"
2026-05-05 20:16:36,STATUS_RECEIVED,4,SARVideo,Disabled,SARVideo,Disabled,OK,0,0.37,YES,"T=STAT,CID=4,MODE=SARV,TX=DIS,H=OK,A=0"
2026-05-05 20:16:43,COMMAND_SENT,5,MTI,Disabled,,,,,,,"T=CMD,CID=5,TS=1778037403.7405732,MODE=MTI,TX=DIS"
2026-05-05 20:16:44,STATUS_RECEIVED,5,MTI,Disabled,MTI,Disabled,OK,0,0.31,YES,"T=STAT,CID=5,MODE=MTI,TX=DIS,H=OK,A=0"
2026-05-05 20:16:47,COMMAND_SENT,6,Maritime Large,Disabled,,,,,,,"T=CMD,CID=6,TS=1778037407.1121378,MODE=MLV,TX=DIS"
2026-05-05 20:16:47,STATUS_RECEIVED,6,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,0.27,YES,"T=STAT,CID=6,MODE=MLV,TX=DIS,H=OK,A=0"
2026-05-05 20:16:55,COMMAND_SENT,7,Maritime Large,Enabled,,,,,,,"T=CMD,CID=7,TS=1778037415.4202402,MODE=MLV,TX=EN"
2026-05-05 20:16:55,STATUS_RECEIVED,7,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,0.38,YES,"T=STAT,CID=7,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-05 20:16:57,COMMAND_SENT,8,SARVideo,Enabled,,,,,,,"T=CMD,CID=8,TS=1778037417.235331,MODE=SARV,TX=EN"
2026-05-05 20:16:57,STATUS_RECEIVED,8,SARVideo,Enabled,SARVideo,Enabled,OK,0,0.38,YES,"T=STAT,CID=8,MODE=SARV,TX=EN,H=OK,A=0"
2026-05-05 20:16:58,COMMAND_SENT,9,Maritime Small,Enabled,,,,,,,"T=CMD,CID=9,TS=1778037418.4552925,MODE=MSV,TX=EN"
2026-05-05 20:16:58,STATUS_RECEIVED,9,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,0.35,YES,"T=STAT,CID=9,MODE=MSV,TX=EN,H=OK,A=0"
2026-05-05 20:17:02,COMMAND_SENT,10,Maritime Small,Disabled,,,,,,,"T=CMD,CID=10,TS=1778037422.125734,MODE=MSV,TX=DIS"
2026-05-05 20:17:02,STATUS_RECEIVED,10,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,0.29,YES,"T=STAT,CID=10,MODE=MSV,TX=DIS,H=OK,A=0"
